,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
1018,7/12/2009,Yes,Nicaragua,IRD:Human,CY072885,CY072884,CY072883,CY072878,CY072881,CY072880,CY072879,CY072882,-N/A-,A/Managua/4606.06/2009(H1N1),H1N1
1019,6/26/2009,Yes,Nicaragua,IRD:Human,CY058547,CY058546,CY058545,CY058540,CY058543,CY058542,CY058541,CY058544,-N/A-,A/Managua/462.01/2009(H1N1),H1N1
1020,7/27/2009,Yes,Nicaragua,IRD:Human,CY073536,CY073535,CY073534,CY073529,CY073532,CY073531,CY073530,CY073533,-N/A-,A/Managua/466.01/2009(H1N1),H1N1
1021,8/19/2009,Yes,Nicaragua,IRD:Human,CY072853,CY072852,CY072851,CY072846,CY072849,CY072848,CY072847,CY072850,-N/A-,A/Managua/4702.04/2009(H1N1),H1N1
1022,8/15/2009,Yes,Nicaragua,IRD:Human,CY058243,CY058242,CY058241,CY058236,CY058239,CY058238,CY058237,CY058240,-N/A-,A/Managua/473.02/2009(H1N1),H1N1
1023,9/1/2009,Yes,Nicaragua,IRD:Human,CY073688,CY073687,CY073686,CY073681,CY073684,CY073683,CY073682,CY073685,-N/A-,A/Managua/4736.02/2009(H1N1),H1N1
1024,7/22/2009,Yes,Nicaragua,IRD:Human,CY073624,CY073623,CY073622,CY073617,CY073620,CY073619,CY073618,CY073621,-N/A-,A/Managua/4747.01/2009(H1N1),H1N1
1025,6/2/2010,Yes,Nicaragua,IRD:Human,CY088938,CY088937,CY088936,CY088931,CY088934,CY088933,CY088932,CY088935,-N/A-,A/Managua/4747.04/2010,H3N2
1026,8/18/2009,Yes,Nicaragua,IRD:Human,CY058579,CY058578,CY058577,CY058572,CY058575,CY058574,CY058573,CY058576,-N/A-,A/Managua/4757.02/2009(H1N1),H1N1
1027,6/6/2010,Yes,Nicaragua,IRD:Human,CY074698,CY074697,CY074696,CY074691,CY074694,CY074693,CY074692,CY074695,-N/A-,A/Managua/4763.03/2010(H3N2),H3N2
1028,6/3/2010,Yes,Nicaragua,IRD:Human,CY089034,CY089033,CY089032,CY089027,CY089030,CY089029,CY089028,CY089031,-N/A-,A/Managua/4855.03/2010(H3N2),H3N2
1029,6/5/2009,Yes,Nicaragua,IRD:Human,CY058531,CY058530,CY058529,CY058524,CY058527,CY058526,CY058525,CY058528,-N/A-,A/Managua/4905.02/2009(H1N1),H1N1
1030,6/15/2009,Yes,Nicaragua,IRD:Human,CY058555,CY058554,CY058553,CY058548,CY058551,CY058550,CY058549,CY058552,-N/A-,A/Managua/4935.03/2009(H1N1),H1N1
1031,7/6/2009,Yes,Nicaragua,IRD:Human,CY069257,CY069256,CY069255,CY069250,CY069253,CY069252,CY069251,CY069254,-N/A-,A/Managua/4943.09/2009(H1N1),H1N1
1032,7/24/2009,Yes,Nicaragua,IRD:Human,CY069297,CY069296,CY069295,CY069290,CY069293,CY069292,CY069291,CY069294,-N/A-,A/Managua/4951.02/2009(H1N1),H1N1
1033,7/28/2009,Yes,Nicaragua,IRD:Human,CY073640,CY073639,CY073638,CY073633,CY073636,CY073635,CY073634,CY073637,-N/A-,A/Managua/4960.01/2009(H1N1),H1N1
1034,9/10/2009,Yes,Nicaragua,IRD:Human,CY072925,CY072924,CY072923,CY072918,CY072921,CY072920,CY072919,CY072922,-N/A-,A/Managua/4972.02/2009(H1N1),H1N1
1035,8/11/2009,Yes,Nicaragua,IRD:Human,CY072709,CY072708,CY072707,CY072702,CY072705,CY072704,CY072703,CY072706,-N/A-,A/Managua/5036.01/2009(H1N1),H1N1
1036,6/5/2010,Yes,Nicaragua,IRD:Human,CY074866,CY074865,CY074864,CY074859,CY074862,CY074861,CY074860,CY074863,-N/A-,A/Managua/506.02/2010(H3N2),H3N2
1037,5/28/2010,Yes,Nicaragua,IRD:Human,CY088882,CY088881,CY088880,CY088875,CY088878,CY088877,CY088876,CY088879,-N/A-,A/Managua/5099.03/2010(H3N2),H3N2
1038,6/2/2010,Yes,Nicaragua,IRD:Human,CY088781,CY088780,CY088779,CY088774,CY088777,CY088776,CY088775,CY088778,-N/A-,A/Managua/511.03/2010(H3N2),H3N2
1039,9/11/2009,Yes,Nicaragua,IRD:Human,CY072829,CY072828,CY072827,CY072822,CY072825,CY072824,CY072823,CY072826,-N/A-,A/Managua/5115.01/2009(H1N1),H1N1
1040,8/11/2009,Yes,Nicaragua,IRD:Human,CY073568,CY073567,CY073566,CY073561,CY073564,CY073563,CY073562,CY073565,-N/A-,A/Managua/5119.06/2009(H1N1),H1N1
1041,6/8/2009,Yes,Nicaragua,IRD:Human,CY058139,CY058138,CY058137,CY058132,CY058135,CY058134,CY058133,CY058136,-N/A-,A/Managua/516.01/2009(H1N1),H1N1
1042,8/11/2009,Yes,Nicaragua,IRD:Human,CY069281,CY069280,CY069279,CY069274,CY069277,CY069276,CY069275,CY069278,-N/A-,A/Managua/5212.04/2009(H1N1),H1N1
1043,6/13/2009,Yes,Nicaragua,IRD:Human,CY058227,CY058226,CY058225,CY058220,CY058223,CY058222,CY058221,CY058224,-N/A-,A/Managua/5221.03/2009(H1N1),H1N1
1044,8/22/2009,Yes,Nicaragua,IRD:Human,CY072757,CY072756,CY072755,CY072750,CY072753,CY072752,CY072751,CY072754,-N/A-,A/Managua/5227.04/2009(H1N1),H1N1
1045,8/5/2009,Yes,Nicaragua,IRD:Human,CY073576,CY073575,CY073574,CY073569,CY073572,CY073571,CY073570,CY073573,-N/A-,A/Managua/5230.01/2009(H1N1),H1N1
