Sample ID,Common Name,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1
10BM10906,A/northern pintail/Interior Alaska/10BM10906R0/2010(H7N3),1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2341,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR28,826,,Y,F,FALL,724,103.9,48.2,261,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10906,10BM10907,
10BM10298,A/northern pintail/Interior Alaska/10BM10298R0/2010(H3N8),1096-81118,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89604,148.84413,1115,09-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR21,658,,Y,F,FALL,716,100.8,46.4,250,,0,,,,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM10298,10BM10299,
10BM12221,A/northern pintail/Interior Alaska/10BM12221R0/2010(H4N6),1096-81130,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.90723,148.83553,2222,13-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR40,1128,,Y,F,FALL,759,95.1,45,250,,1,,,,WACKY DUCK FEET,BAIT TRAP,,,,,,,,,,,,,,,10BM12220,10BM12221,
10BM10480,A/northern pintail/Interior Alaska/10BM10480R0/2010(H3N8),1096-81146,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92637,148.81874,1803,09-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR23,705,,Y,F,FALL,700,95.8,46.5,246,,0,,,,ROCKET NET WACKY DUCK HEAD,ROCKET NET,,,,,,,,,,,,,,,10BM10480,10BM10481,
10BM10928,A/northern pintail/Interior Alaska/10BM10928R0/2010(H3N8),1096-81149,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92657,148.81829,903,11-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR28,832,,Y,F,FALL,749,,,247,,1,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10928,10BM10929,
10BM11380,A/northern pintail/Interior Alaska/10BM11380R0/2010(H10N6),1096-81230,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.90517,148.77598,1150,12-Aug-10,8,2010,Michael J. Petrula,"Minto Flats, USA, AK",BAITR33,960,,Y,F,FALL,810,103,48.9,270,,0,,,,BIG MINTO LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM11380,10BM11381,TRAPPED ON BIG MINTO LAKE BUT SPECIFIC TRAP LOCATION UNKNOWN; COORDINATES ARE FOR CENTER OF BIG MINTO LAKE
10BM12552,A/northern pintail/Interior Alaska/10BM12552R0/2010(H3N8),1096-81243,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.89604,148.84413,1255,14-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR42,1186,,Y,F,FALL,849,106,50,266,,0,,,,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM12551,10BM12552,
10BM11366,A/northern pintail/Interior Alaska/10BM11366R0/2010(H7N3),1096-81248,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.90517,148.77598,1150,12-Aug-10,8,2010,Michael J. Petrula,"Minto Flats, USA, AK",BAITR33,953,,Y,F,FALL,797,98.7,47.2,252,,0,,,,BIG MINTO LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM11366,10BM11367,TRAPPED ON BIG MINTO LAKE BUT SPECIFIC TRAP LOCATION UNKNOWN; COORDINATES ARE FOR CENTER OF BIG MINTO LAKE
9BM3859,A/northern pintail/Interior Alaska/9BM3859R1/2009(H10N7),1146-18523,,,,NOPI,Anas acuta,M,A,H,AHY,AHY,W,M,C,64.95768,148.77421,2251,24-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",MD6,1261,24-Jul-09,N,,MOLTER,821,106.4,51.4,203,,,,,,Y LAKES E,DRIVE TRAP,,,,,,,,,,,,,,,,,
9BM4666,A/northern pintail/Interior Alaska/9BM4666R0/2009(H10N7),1146-18538,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,OP,64.93807,148.80484,1200,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB3,54,27-Jul-09,Y,O,MIGRANT,633,95.9,47.3,240,,1,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
