,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
695,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144046,CY144045,CY144044,CY144039,CY144042,CY144041,CY144040,CY144043,Alaska,A/mallard/Interior Alaska/10BM12351R0/2010,H3N8
696,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144054,CY144053,CY144052,CY144047,CY144050,CY144049,CY144048,CY144051,Alaska,A/mallard/Interior Alaska/10BM12352R0/2010,H3N8
697,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144062,CY144061,CY144060,CY144055,CY144058,CY144057,CY144056,CY144059,Alaska,A/mallard/Interior Alaska/10BM12363R0/2010,H3N8
698,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144070,CY144069,CY144068,CY144063,CY144066,CY144065,CY144064,CY144067,Alaska,A/mallard/Interior Alaska/10BM12370R0/2010,H3N8
699,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144078,CY144077,CY144076,CY144071,CY144074,CY144073,CY144072,CY144075,Alaska,A/mallard/Interior Alaska/10BM12374R0/2010,H3N8
700,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY144086,CY144085,CY144084,CY144079,CY144082,CY144081,CY144080,CY144083,Alaska,A/mallard/Interior Alaska/10BM12383R0/2010,H3N8
701,2010-08-14 00:00:00,Yes,USA,IRD:Mallard/Avian,CY141522,CY141521,CY141520,CY141515,CY141518,CY141517,CY141516,CY141519,Alaska,A/mallard/Interior Alaska/10BM12582R0/2010,H3N8
702,2010-09-04 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143763,CY143762,CY143761,CY143756,CY143759,CY143758,CY143757,CY143760,Alaska,A/mallard/Interior Alaska/10CH00021R0/2010,H4N6
703,2010-09-05 00:00:00,Yes,USA,IRD:Mallard/Avian,CY143771,CY143770,CY143769,CY143764,CY143767,CY143766,CY143765,CY143768,Alaska,A/mallard/Interior Alaska/10CH00035R0/2010,H3N8
704,2008-08-09 00:00:00,Yes,USA,IRD:Mallard/Avian,CY080122,CY080121,CY080120,CY080115,CY080118,CY080117,CY080116,CY080119,Alaska,A/mallard/Interior Alaska/8BM2102/2008,H1N1
